SYNSET ENTROPY DISPERSION STD
4970312 295.178165149 0.206981597819 0.98997
4479046 190.635259612 0.159385454333 0.8319
3283827 278.096757939 0.202449948018 0.934
2081927 251.341341286 0.178259672257 0.87459
4483925 206.796340521 0.159686796728 0.79067
2380583 238.522239488 0.18030660978 0.87877
7744811 210.88758938 0.178092796817 0.89092
7583865 169.088797973 0.153390575751 0.71024
3714235 253.387212687 0.191189586629 0.8687
2826812 221.558090548 0.164800369212 0.88281
12712626 193.41744466 0.159254456451 0.74229
4966941 236.694324212 0.191977728641 0.98164
15091304 158.226938756 0.126343436043 0.68551
9618880 196.99577074 0.1673466009 0.75826
5262422 295.656409688 0.203855973061 0.94009
2302620 293.681734714 0.202742800197 0.92105
3360431 253.814148239 0.190120796679 0.87738
2874537 263.028002618 0.189124853106 0.97175
13004826 243.370587376 0.182482292801 0.87433
2879309 279.610818974 0.199999785706 0.88371
2026629 182.746875171 0.145563465653 0.8123
7732747 232.663999363 0.178683582597 0.79145
4228422 228.155325212 0.168950382824 0.84969
2192252 197.260005501 0.152345891714 0.86116
1519563 250.640108651 0.174414301811 0.87876
4324515 291.642187638 0.195851962421 0.8596
3538542 236.570073919 0.173594224393 0.83854
7736087 243.760522521 0.190881404445 0.89432
2768973 227.751615396 0.19054503702 0.83542
4052757 223.13426645 0.181720519329 0.79831
7628068 213.584392772 0.174203623199 0.79731
3436891 202.914879533 0.165757497955 0.823
3262072 275.015640591 0.201728133298 0.96649
13141972 186.187962214 0.160838452811 0.765
9398076 280.831151635 0.193915120394 0.83092
3842012 209.58223967 0.178908188814 0.76328
12058822 159.878393938 0.133214819778 0.6891
4166111 265.057164349 0.194446453357 0.86417
7895839 209.494238462 0.172744452878 0.89259
2176439 227.140803685 0.176435328775 0.93346
3944341 245.549477132 0.185757367316 0.95653
12865037 186.950740406 0.14620617095 0.70211
1543383 231.09757192 0.179538894918 0.88235
4561734 220.134585769 0.175414162127 0.9091
1482330 216.532694564 0.164483177403 0.85498
3899612 301.283022501 0.210189370177 1.039
12269241 225.270094976 0.172468141242 0.69377
2295390 264.893057059 0.190765853144 0.9463
1596273 240.351679856 0.181886791498 0.90429
1484447 163.856115525 0.116705029682 0.70011
12474418 190.807685446 0.149595256698 0.671
2818135 243.773725956 0.182981788515 0.90223
3887185 274.73855393 0.202517040393 0.98403
12873984 224.500021894 0.177563632172 0.81098
3811965 252.135023402 0.181450152205 0.83592
12801781 164.102749557 0.139889628625 0.74289
13018088 214.294443883 0.168553583066 0.86427
7678729 187.61973514 0.168684619417 0.75951
7871065 204.097827151 0.167198890168 0.74112
7878647 181.643140256 0.163510352121 0.74027
10500419 258.440390706 0.192499051317 0.84279
1916187 215.678585152 0.173660658054 0.79975
12783730 203.799543842 0.170287064413 0.77213
